"","year","date","statefips","countyfips","ctfips","latitude","longitude","ds_o3_pred","ds_o3_stdd"
"114","2016","03JAN2016","55","105","55105003001","42.83565","-89.07194","33.6983","4.8045"
"115","2016","04JAN2016","55","105","55105001500","42.50099","-89.02769","32.8555","5.437"
"116","2016","04JAN2016","55","105","55105001600","42.50188","-89.04802","32.9478","5.4651"
"117","2016","04JAN2016","55","105","55105001900","42.50673","-89.01721","32.919","5.3133"
"118","2016","04JAN2016","55","105","55105002000","42.50687","-89.06441","32.8858","5.383"
"119","2016","04JAN2016","55","105","55105001700","42.51589","-89.04543","33.0108","5.5241"
"120","2016","04JAN2016","55","105","55105001800","42.51755","-89.02678","33.1163","5.374"
"121","2016","04JAN2016","55","105","55105002100","42.53038","-89.05855","33.068","5.4801"
"122","2016","04JAN2016","55","105","55105002300","42.53279","-89.02897","33.2002","5.6295"
"123","2016","04JAN2016","55","105","55105002602","42.53666","-88.9448","33.3619","5.5902"
"124","2016","04JAN2016","55","105","55105002500","42.53716","-89.01592","32.9186","5.411"
"125","2016","04JAN2016","55","105","55105002200","42.54582","-89.09027","33.0475","5.4964"
"126","2016","04JAN2016","55","105","55105003300","42.54762","-88.83378","33.6877","5.6201"
"127","2016","04JAN2016","55","105","55105002700","42.54843","-89.24627","33.2078","5.6488"
"128","2016","04JAN2016","55","105","55105002601","42.55448","-88.99945","33.1549","5.6959"
"129","2016","04JAN2016","55","105","55105002400","42.56141","-89.02588","32.9939","5.5182"
"130","2016","04JAN2016","55","105","55105001400","42.62309","-89.01896","33.1973","5.7155"
"131","2016","04JAN2016","55","105","55105001302","42.64148","-88.93872","33.5254","5.7693"
"132","2016","04JAN2016","55","105","55105001201","42.64202","-89.09185","33.2443","5.8137"
"133","2016","04JAN2016","55","105","55105001100","42.65795","-89.04421","33.04","5.6939"
"134","2016","04JAN2016","55","105","55105001000","42.66515","-89.01236","33.1494","5.6994"
"135","2016","04JAN2016","55","105","55105002800","42.66682","-89.23995","33.0478","5.892"
"136","2016","04JAN2016","55","105","55105000300","42.67417","-89.02437","33.3202","5.7472"
"137","2016","04JAN2016","55","105","55105000400","42.67738","-89.04153","33.5318","5.7456"
"138","2016","04JAN2016","55","105","55105000200","42.68317","-89.01108","33.4193","5.9011"
"139","2016","04JAN2016","55","105","55105000100","42.68356","-89.02426","33.1795","5.6748"
"140","2016","04JAN2016","55","105","55105000900","42.6843","-88.99207","33.3054","5.7049"
"141","2016","04JAN2016","55","105","55105000800","42.69536","-89.00179","33.2159","5.9802"
"142","2016","04JAN2016","55","105","55105000600","42.69674","-89.02224","33.1795","5.8853"
"143","2016","04JAN2016","55","105","55105000500","42.70099","-89.04299","33.2702","5.8782"
"144","2016","04JAN2016","55","105","55105000700","42.71025","-88.99385","33.338","5.8172"
"145","2016","04JAN2016","55","105","55105001304","42.71477","-88.97057","33.2575","5.8942"
"146","2016","04JAN2016","55","105","55105003200","42.72317","-88.83716","33.7714","5.8978"
"147","2016","04JAN2016","55","105","55105001202","42.73139","-89.06797","33.3544","5.9018"
"148","2016","04JAN2016","55","105","55105001303","42.73339","-88.94172","33.4509","5.8903"
"149","2016","04JAN2016","55","105","55105002900","42.78101","-89.29198","33.38","5.9821"
"150","2016","04JAN2016","55","105","55105003002","42.80168","-89.11307","33.2923","5.9155"
